https://www.sccgov.org/sites/covid19/Pages/dashboard.aspx#cases,,,
,,,
,,,
date,county,result,count
2020-02-28,Santa Clara,positive,NA
2020-02-28,Santa Clara,negative,NA
2020-02-29,Santa Clara,positive,NA
2020-02-29,Santa Clara,negative,NA
2020-03-01,Santa Clara,positive,NA
2020-03-01,Santa Clara,negative,NA
2020-03-02,Santa Clara,positive,NA
2020-03-02,Santa Clara,negative,NA
2020-03-03,Santa Clara,positive,NA
2020-03-03,Santa Clara,negative,NA
2020-03-04,Santa Clara,positive,NA
2020-03-04,Santa Clara,negative,NA
2020-03-05,Santa Clara,positive,NA
2020-03-05,Santa Clara,negative,NA
2020-03-06,Santa Clara,positive,NA
2020-03-06,Santa Clara,negative,NA
2020-03-07,Santa Clara,positive,NA
2020-03-07,Santa Clara,negative,NA
2020-03-08,Santa Clara,positive,NA
2020-03-08,Santa Clara,negative,NA
2020-03-09,Santa Clara,positive,NA
2020-03-09,Santa Clara,negative,NA
2020-03-10,Santa Clara,positive,NA
2020-03-10,Santa Clara,negative,NA
2020-03-11,Santa Clara,positive,NA
2020-03-11,Santa Clara,negative,NA
2020-03-12,Santa Clara,positive,NA
2020-03-12,Santa Clara,negative,NA
2020-03-13,Santa Clara,positive,NA
2020-03-13,Santa Clara,negative,NA
2020-03-14,Santa Clara,positive,NA
2020-03-14,Santa Clara,negative,NA
2020-03-15,Santa Clara,positive,NA
2020-03-15,Santa Clara,negative,NA
2020-03-16,Santa Clara,positive,NA
2020-03-16,Santa Clara,negative,NA
2020-03-17,Santa Clara,positive,23
2020-03-17,Santa Clara,negative,174
2020-03-18,Santa Clara,positive,21
2020-03-18,Santa Clara,negative,263
2020-03-19,Santa Clara,positive,34
2020-03-19,Santa Clara,negative,350
2020-03-20,Santa Clara,positive,52
2020-03-20,Santa Clara,negative,311
2020-03-21,Santa Clara,positive,43
2020-03-21,Santa Clara,negative,333
2020-03-22,Santa Clara,positive,50
2020-03-22,Santa Clara,negative,392
2020-03-23,Santa Clara,positive,50
2020-03-23,Santa Clara,negative,466
2020-03-24,Santa Clara,positive,60
2020-03-24,Santa Clara,negative,635
2020-03-25,Santa Clara,positive,73
2020-03-25,Santa Clara,negative,676
2020-03-26,Santa Clara,positive,54
2020-03-26,Santa Clara,negative,529
2020-03-27,Santa Clara,positive,80
2020-03-27,Santa Clara,negative,669
2020-03-28,Santa Clara,positive,69
2020-03-28,Santa Clara,negative,676
2020-03-29,Santa Clara,positive,53
2020-03-29,Santa Clara,negative,644
2020-03-30,Santa Clara,positive,52
2020-03-30,Santa Clara,negative,479
2020-03-31,Santa Clara,positive,73
2020-03-31,Santa Clara,negative,560
2020-04-01,Santa Clara,positive,63
2020-04-01,Santa Clara,negative,664
2020-04-02,Santa Clara,positive,56
2020-04-02,Santa Clara,negative,501
2020-04-03,Santa Clara,positive,46
2020-04-03,Santa Clara,negative,516
2020-04-04,Santa Clara,positive,52
2020-04-04,Santa Clara,negative,578
2020-04-05,Santa Clara,positive,48
2020-04-05,Santa Clara,negative,401
2020-04-06,Santa Clara,positive,64
2020-04-06,Santa Clara,negative,379
2020-04-07,Santa Clara,positive,42
2020-04-07,Santa Clara,negative,450
2020-04-08,Santa Clara,positive,36
2020-04-08,Santa Clara,negative,616
2020-04-09,Santa Clara,positive,55
2020-04-09,Santa Clara,negative,587
2020-04-10,Santa Clara,positive,66
2020-04-10,Santa Clara,negative,582
2020-04-11,Santa Clara,positive,69
2020-04-11,Santa Clara,negative,534
2020-04-12,Santa Clara,positive,44
2020-04-12,Santa Clara,negative,412
2020-04-13,Santa Clara,positive,53
2020-04-13,Santa Clara,negative,326
2020-04-14,Santa Clara,positive,46
2020-04-14,Santa Clara,negative,568
2020-04-15,Santa Clara,positive,36
2020-04-15,Santa Clara,negative,530
2020-04-16,Santa Clara,positive,38
2020-04-16,Santa Clara,negative,600
2020-04-17,Santa Clara,positive,18
2020-04-17,Santa Clara,negative,579
2020-04-18,Santa Clara,positive,31
2020-04-18,Santa Clara,negative,501
2020-04-19,Santa Clara,positive,14
2020-04-19,Santa Clara,negative,248
2020-04-20,Santa Clara,positive,10
2020-04-20,Santa Clara,negative,170
